facility_id,facility_name,street_address,city,state_code,zip_code,county,facility_type,provider_type,ownership_type,ownership_group,fiscal_year,source_fy_end_date,total_revenue,medicare_revenue,medicaid_revenue,other_revenue,medicare_method,total_days,medicare_days,medicaid_days,chain_name,chain_confidence,federal_medicaid_share,federal_medicaid_revenue,state_medicaid_revenue,medicare_dependency,medicaid_dependency,public_dependency
442010,BAPTIST MEM RESTORATIVE CARE HOSP.,6019 WALNUT GROVE,MEMPHIS,TN,38120,SHELBY,LTCH,2,Government Federal,government,2023,2023-09-30,9510088.0,5060465.21,0.0,4449622.79,days_share,6788.0,3612.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.5321154977745737,0.0,0.5321154977745737
442014,SSH -MEMPHIS  INC,1265 UNION AVE,MEMPHIS,TN,38104,SHELBY,LTCH,2,Government City,government,2023,2023-11-30,23546184.0,8167093.6,0.0,15379090.4,days_share,11587.0,4019.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.34685423336537247,0.0,0.34685423336537247
442015,SSH -NORTH KNOXVILLE,7557B DANNAHER DRIVE,POWELL,TN,37849-3568,KNOX,LTCH,2,Government City,government,2023,2023-12-31,33905502.0,12808075.76,0.0,21097426.24,days_share,20259.0,7653.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.37775803348966785,0.0,0.37775803348966785
442016,SSH - TRI-CITIES  INC.,1 MEDICAL PARK BLVD  5TH FL WEST,BRISTOL,TN,37620,SULLIVAN,LTCH,2,Government City,government,2023,2023-10-31,19066327.0,6130526.07,0.0,12935800.93,days_share,11218.0,3607.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.32153681566460074,0.0,0.32153681566460074
443029,ENCOMPASS HEALTH REHABILITATION HOSP,1282 UNION AVE,MEMPHIS,TN,38104,SHELBY,RH,5,Nonprofit Corporation,not_for_profit,2023,2023-12-31,30576452.0,13423102.05,0.0,17153349.95,days_share,20066.0,8809.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.4390012958338005,0.0,0.4390012958338005
443031,ENCOMPASS HEALTH REHABILITATION HOSP,4100 AUSTIN PEAY HIGHWAY,MEMPHIS,TN,68128,SHELBY,RH,5,Nonprofit Corporation,not_for_profit,2023,2023-12-31,20705445.0,12544227.64,0.0,8161217.36,days_share,14276.0,8649.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.6058419724859814,0.0,0.6058419724859814
443033,QUILLEN REHABILITATION HOSPITAL  A,2511 WESLEY STREET,JOHNSON CITY,TN,37601,WASHINGTON,RH,5,Nonprofit Corporation,not_for_profit,2023,2023-09-30,15445000.0,7532602.46,0.0,7912397.54,days_share,11224.0,5474.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.4877049180964714,0.0,0.4877049180964714
443034,BAPTIST MEMORIAL REHABILITATION HOSP,1240 S. GERMANTOWN ROAD,GERMANTOWN,TN,38138,SHELBY,RH,5,Nonprofit Corporation,not_for_profit,2023,2023-12-31,29250382.0,20166074.17,0.0,9084307.83,days_share,16650.0,11479.0,179.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.6894294293318973,0.0,0.6894294293318973
443036,WEST TENNESSEE HEALTHCARE REHABILITA,616 WEST FOREST AVENUE,JACKSON,TN,38301,MADISON,RH,5,Nonprofit Corporation,not_for_profit,2023,2023-09-30,20765709.0,12983945.06,0.0,7781763.94,days_share,15448.0,9659.0,0.0,HCA Healthcare,keyword,0.6416,0.0,0.0,0.6252589333694313,0.0,0.6252589333694313
443037,KNOXVILLE REHABILITATION HOSPITAL,1250 TENNOVA MEDICAL WAY,KNOXVILLE,TN,37909,KNOX,RH,5,Nonprofit Corporation,not_for_profit,2023,2023-12-31,22047879.0,10401157.01,0.0,11646721.99,days_share,14391.0,6789.0,140.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.47175317906996855,0.0,0.47175317906996855
443038,SAINT THOMAS REHABILITATION HOSPITAL,310 21ST AVENUE NORTH,NASHVILLE,TN,37203,DAVIDSON,RH,5,Nonprofit Corporation,not_for_profit,2023,2023-12-31,17347249.0,7084047.33,0.0,10263201.67,days_share,9107.0,3719.0,0.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.4083671900945216,0.0,0.4083671900945216
444004,LAKESIDE HOSPITAL,2911 BRUNSWICK RD,MEMPHIS,TN,38133,,PH,4,Government City,government,2023,2023-12-31,65485231.0,6051567.63,0.0,59433663.37,days_share,78194.0,7226.0,108.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.09241118245425445,0.0,0.09241118245425445
444005,BEHAVORIAL HEALTHCARE CENTERS,458 HANNINGS LANE,MARTIN,TN,38237,WEAKLEY,PH,4,Nonprofit Church,not_for_profit,2023,2023-12-31,4771459.0,3263483.24,0.0,1507975.76,days_share,4607.0,3151.0,0.0,HCA Healthcare,keyword,0.6416,0.0,0.0,0.6839591915177308,0.0,0.6839591915177308
444019,BEHAVIORAL HEALTHCARE CENTERS  LLC,930 PROFESSIONAL DRIVE,CLARKSVILLE,TN,37040,MONTGOMERY,PH,4,Nonprofit Church,not_for_profit,2023,2023-12-31,5434556.0,2839228.13,0.0,2595327.87,days_share,6640.0,3469.0,0.0,HCA Healthcare,keyword,0.6416,0.0,0.0,0.522439759568215,0.0,0.522439759568215
