fiscal_year,chain_name,medicaid_total,medicare_total,federal_medicaid_total,state_medicaid_total,private_total,private_carrier_administered_total,uninsured_other_total,total_revenue,facility_count,state_count,public_total,comprehensive_total,public_dependency,private_dependency,private_carrier_administered_dependency,comprehensive_dependency
2019,Mayo Clinic,288488704.0,3827545839.88,151158080.78,137330623.22,3302831362.0699997,5624348102.0,941626694.0500001,8360492600.0,21,5,4116034543.88,7418865905.95,0.49231962048264954,0.39505224393954963,0.672729272196234,0.8873718644221992
2017,Providence,1022287118.0,3061678397.76,545427359.83,476859758.16999996,3458860262.16,5909498719.41,1342006815.08,8884832593.0,33,10,4083965515.76,7542825777.92,0.45965587680037906,0.3892994297816141,0.6651221232987389,0.8489553065819931
2021,Providence,1135210355.0,2916533960.56,596380173.1800001,538830181.8199999,4031078581.06,6486580025.62,1567641670.3799999,9650464567.0,30,7,4051744315.56,8082822896.62,0.41984966500110665,0.4177082412016072,0.6721521000969237,0.8375579062027139
2022,Providence,1054768730.0,2964943543.74,554449380.94,500319349.06,4207009942.2799997,6628805438.809999,1636059421.98,9862781638.0,30,7,4019712273.74,8226722216.0199995,0.4075637503980193,0.42655409971472386,0.6721030315900014,0.8341178501127432
2016,Providence,942800050.0,3061878330.01,505896538.33000004,436903511.66999996,3341318184.35,5732451303.34,1295592120.64,8641588685.0,32,9,4004678380.01,7345996564.360001,0.4634192306515686,0.3866555451950442,0.6633561851063732,0.8500747758466128
2018,Mayo Clinic,249766867.0,3699904529.0699997,131307129.97,118459737.03,2887347351.58,5109619992.83,806925282.35,7643944030.0,21,5,3949671396.0699997,6837018747.65,0.5167059544874768,0.3777300488135573,0.6684533498383033,0.894436003301034
2020,Providence,1008541831.0,2895785204.03,529603599.18,478938231.82,3597671074.31,5946759309.7699995,1399094306.66,8901092416.0,30,7,3904327035.03,7501998109.34,0.4386345914139535,0.4041830941832567,0.668093199333658,0.8428176855972102
2015,Providence,933842613.0,2880998512.36,499784037.7,434058575.3,3182754569.59,5467685711.12,1234305563.05,8231901258.0,32,9,3814841125.36,6997595694.950001,0.46342163320443464,0.38663663105736445,0.6642069115936424,0.8500582642617991
2023,THE NEW YORK AND PRESBYTERIAN HOSPITAL,1395017651.0,2390507395.39,697508825.5,697508825.5,3977610196.04,6338652501.75,1546848409.57,9309983652.0,1,1,3785525046.39,7763135242.43,0.40660920447231735,0.4272413727800174,0.6808446436303152,0.8338505772523348
2020,Mayo Clinic,283755841.0,3473487207.27,150332752.34,133423088.66,3311808553.67,5435043398.43,935476293.0600001,8004527895.0,21,5,3757243048.27,7069051601.940001,0.4693897126171487,0.4137418967255657,0.6789961219105728,0.8831316093427145
